outcome,kind,event_q,coef,se,ci_lo,ci_hi,pval
ai_addressed,event_bin,0.0,0.006274010728449382,0.005791159703168176,-0.005076453718479913,0.017624475175378677,0.27864100514087353
ai_addressed,event_bin,2.0,-0.03214730388407236,0.033431268405991706,-0.09767138591730788,0.033376778149163164,0.3362536351262414
ai_addressed,event_bin,4.0,-0.07018230143038881,0.05914430274052952,-0.1861030046925603,0.04573840183178267,0.23537428126316529
ai_addressed,event_bin,6.0,-0.06943073043417132,0.08081883525713979,-0.2278327368106412,0.08897127594229857,0.39029033665324386
ai_addressed,did_exposure_x_post,,-0.04448926449716885,0.04295065156730389,-0.1286709946816133,0.03969246568727561,0.30028481511843363
ai_addressed,placebo_2021Q4,,-0.001522290298064893,0.006414284705734238,-0.014094057307890097,0.011049476711760311,0.8124022282831841
ai_governance_intensity,event_coef,-7.0,-0.008315151722444462,0.01981378973171147,-0.04714946599384849,0.030519162548959564,0.6747302833826843
ai_governance_intensity,event_coef,-6.0,6.447967160205792e-15,,,,
ai_governance_intensity,event_coef,-5.0,2.104874646462798e-15,4.2474495425177495e-09,-8.324846024611271e-09,8.324850234360565e-09,0.9999996045987207
ai_governance_intensity,event_coef,-4.0,2.291569711765362e-15,4.4663499756503984e-09,-8.753882803056417e-09,8.75388738619584e-09,0.9999995906258795
ai_governance_intensity,event_coef,-3.0,1.797808093968026e-15,6.52056560907618e-09,-1.2780071954811701e-08,1.278007555042789e-08,0.9999997800124395
ai_governance_intensity,event_coef,-2.0,2.6124935548210715e-15,,,,
ai_governance_intensity,event_coef,0.0,2.671474153004283e-15,3.241829564481864e-09,-6.35386651892747e-09,6.353871861875776e-09,0.9999993424922752
ai_governance_intensity,event_coef,1.0,2.1798134187082525e-15,,,,
ai_governance_intensity,event_coef,2.0,-0.03743541622608309,0.07816698579327525,-0.19063989316095664,0.11576906070879045,0.6319984238467384
ai_governance_intensity,event_coef,3.0,-0.2194122962534181,0.175851760955905,-0.5640754143449388,0.12525082183810257,0.21213666205132053
ai_governance_intensity,event_coef,4.0,-0.21941229625341835,0.17585176095590463,-0.5640754143449382,0.1252508218381016,0.21213666205131898
ai_governance_intensity,event_coef,5.0,-0.14911407918712624,0.18941257553845756,-0.5203559054614755,0.22212774708722302,0.4311385329472942
ai_governance_intensity,event_coef,6.0,-0.33082671259668317,0.23000399852613485,-0.7816262660081111,0.1199728408147448,0.15033420296301803
ai_governance_intensity,event_coef,7.0,-0.33148014852651303,0.314481834068886,-0.9478532170936309,0.2848929200406049,0.2918591943420825
ai_governance_intensity,event_coef,8.0,-0.3481104519714088,0.30652735314267965,-0.9488930244074515,0.25267212046463394,0.2560994362819372
ai_governance_intensity,event_coef,-1.0,0.0,0.0,0.0,0.0,
ai_governance_intensity,event_bin,0.0,0.0011878788174871247,0.0027882634473727747,-0.004277017118773006,0.006652774753747256,0.6700873080222505
ai_governance_intensity,event_bin,2.0,-0.1272359774222672,0.10707152639398024,-0.3370923129241983,0.08262035807966389,0.23470463493145355
ai_governance_intensity,event_bin,4.0,-0.18307530890278811,0.17603910265611444,-0.5281056099795218,0.16195499217394554,0.2983540410933707
ai_governance_intensity,event_bin,6.0,-0.3356178922140412,0.26340591025895804,-0.8518839896365884,0.18064820520850605,0.20261126793439
ai_governance_intensity,did_exposure_x_post,,-0.18056672129524487,0.13356042806276203,-0.4423403500580112,0.08120690746752146,0.1763920281036775
ai_governance_intensity,placebo_2021Q4,,0.0027717172408158047,0.006779843207783416,-0.010516531267268201,0.016059965748899813,0.6826737380700612
net_restrictiveness,event_coef,-7.0,-4.3947680346627787e-16,3.9084252253829925e-09,-7.660373117495312e-09,7.660372238541706e-09,0.99999991028311
net_restrictiveness,event_coef,-6.0,-4.429176110658989e-16,3.6781901041714165e-09,-7.209120575385217e-09,7.209119689549995e-09,0.9999999039209194
net_restrictiveness,event_coef,-5.0,-1.9986198615489924e-16,2.3931105857260493e-09,-4.6904107589065965e-09,4.690410359182625e-09,0.9999999333642189
net_restrictiveness,event_coef,-4.0,-5.368284417733715e-16,2.91793129814529e-09,-5.719040790555417e-09,5.719039716898533e-09,0.9999998532086325
net_restrictiveness,event_coef,-3.0,-2.2244816788701263e-16,3.2593390260250788e-09,-6.38818732686318e-09,6.388186881966844e-09,0.9999999455448
net_restrictiveness,event_coef,-2.0,-6.857788977026518e-16,4.058829865475808e-09,-7.955161041487034e-09,7.955159669929239e-09,0.9999998651896205
net_restrictiveness,event_coef,0.0,-4.1548422750597456e-16,3.634435628076687e-09,-7.1233633506437446e-09,7.12336251967529e-09,0.9999999087868147
net_restrictiveness,event_coef,1.0,-2.5232765452109293e-16,4.272365719550798e-09,-8.37368319143077e-09,8.373682686775462e-09,0.9999999528766138
net_restrictiveness,event_coef,2.0,0.01802190655699394,0.020658158815741443,-0.0224673407087679,0.05851115382275578,0.3829973597178724
net_restrictiveness,event_coef,3.0,-0.0546516578234462,0.055661471710761294,-0.1637461377030334,0.054442822056141,0.3261698402900961
net_restrictiveness,event_coef,4.0,-0.05465165782344626,0.0556614717107612,-0.16374613770303326,0.05444282205614075,0.32616984029009466
net_restrictiveness,event_coef,5.0,-0.05465165782344615,0.055661471710761246,-0.16374613770303326,0.054442822056140955,0.3261698402900961
net_restrictiveness,event_coef,6.0,-0.08651348098652528,0.0585914562716262,-0.2013506250806661,0.02832366310761554,0.1397950841861401
net_restrictiveness,event_coef,7.0,-0.17103649560218437,0.1018464376730222,-0.3706518453950113,0.028578854190642516,0.09308255033175629
net_restrictiveness,event_coef,8.0,-0.17103649560218434,0.10184643767302229,-0.3706518453950114,0.028578854190642683,0.0930825503317566
net_restrictiveness,event_coef,-1.0,0.0,0.0,0.0,0.0,
net_restrictiveness,event_bin,0.0,-1.1046454701979297e-15,,,,
net_restrictiveness,event_bin,2.0,-0.018314875633225345,0.03031148962374419,-0.0777243036135235,0.04109455234707282,0.5456959081545523
net_restrictiveness,event_bin,4.0,-0.054651657823446,0.0548300927635589,-0.16211666490901167,0.05281334926211968,0.31888797322377704
net_restrictiveness,event_bin,6.0,-0.14286215739696412,0.08108301338429921,-0.30178194338816977,0.016057628594241508,0.07808203458581447
net_restrictiveness,did_exposure_x_post,,-0.06383550434491539,0.04065126124221794,-0.14351051230579154,0.01583950361596076,0.11634059323247993
net_restrictiveness,placebo_2021Q4,,0.0,0.0,0.0,0.0,
restrictive_idx,event_coef,-7.0,-0.004157575861222452,0.009906894865857632,-0.02357473299692818,0.015259581274483278,0.6747302833827267
restrictive_idx,event_coef,-6.0,3.002806336915853e-15,8.324143249821565e-09,-1.6315017968996132e-08,1.6315023974608806e-08,0.9999997121754464
restrictive_idx,event_coef,-5.0,9.522838807060816e-16,7.566460435246676e-09,-1.4829988991246868e-08,1.4829990895814628e-08,0.9999998995815002
restrictive_idx,event_coef,-4.0,8.76902717106276e-16,6.319903008171558e-09,-1.2386781404899884e-08,1.2386783158705318e-08,0.9999998892914751
restrictive_idx,event_coef,-3.0,7.876816033115074e-16,7.386950846333991e-09,-1.447815682670069e-08,1.4478158402063897e-08,0.9999999149203774
restrictive_idx,event_coef,-2.0,9.662409761190816e-16,7.845430993042948e-09,-1.5376761223317513e-08,1.5376763155799465e-08,0.9999999017327719
restrictive_idx,event_coef,0.0,1.128437621122913e-15,7.2674955680617184e-09,-1.4244028442767808e-08,1.424403069964305e-08,0.9999998761109729
restrictive_idx,event_coef,1.0,9.644592449361141e-16,7.176867302340244e-09,-1.4066400469950767e-08,1.4066402398869258e-08,0.9999998927767355
restrictive_idx,event_coef,2.0,-0.00970675483454457,0.030591315810487966,-0.06966463206279172,0.05025112239370257,0.7510127450257756
restrictive_idx,event_coef,3.0,-0.13703197703843212,0.11237711827666436,-0.3572870815470921,0.08322312747022789,0.22269470883468512
restrictive_idx,event_coef,4.0,-0.1370319770384323,0.11237711827666415,-0.3572870815470919,0.08322312747022728,0.22269470883468367
restrictive_idx,event_coef,5.0,-0.10188286850528622,0.11713406220952266,-0.3314614117988248,0.1276956747882524,0.38441129245784544
restrictive_idx,event_coef,6.0,-0.2086700967916042,0.13878058281114802,-0.4806750408549328,0.06333484727172439,0.1326851105681665
restrictive_idx,event_coef,7.0,-0.2512583220643486,0.18894895122730365,-0.621591461386479,0.1190748172577818,0.1835946297201475
restrictive_idx,event_coef,8.0,-0.2595734737867965,0.1864088949390164,-0.6249281942651794,0.1057812466915864,0.16377252282251675
restrictive_idx,event_coef,-1.0,0.0,0.0,0.0,0.0,
restrictive_idx,event_bin,0.0,0.0005939394087430105,0.0013941317236864643,-0.0021385085593872057,0.003326387376873227,0.6700873080225562
restrictive_idx,event_bin,2.0,-0.07277542652774627,0.060256228892189394,-0.19087546500063932,0.04532461194514678,0.22713727033168896
restrictive_idx,event_bin,4.0,-0.11886348336311706,0.11140306571043038,-0.3372094799229096,0.09948251319667553,0.2859863789008651
restrictive_idx,event_bin,6.0,-0.23924002480550266,0.1597815249674667,-0.5524060591366249,0.07392600952561951,0.13431660260503298
restrictive_idx,did_exposure_x_post,,-0.12220111282008013,0.08138463182385502,-0.2817120600898883,0.03730983444972806,0.13321965553437554
restrictive_idx,placebo_2021Q4,,0.0013858586204079024,0.003389921603891708,-0.005258265633634101,0.008029982874449906,0.6826737380700612
procedural_idx,event_coef,-7.0,-0.004157575861222012,0.009906894865854788,-0.02357473299692217,0.015259581274478145,0.6747302833826709
procedural_idx,event_coef,-6.0,3.445160823289939e-15,2.9483490891651518e-09,-5.778654583454347e-09,5.7786614737759936e-09,0.9999990676678551
procedural_idx,event_coef,-5.0,1.15085604228074e-15,2.6429685828994934e-09,-5.180122083897829e-09,5.1801243856099134e-09,0.9999996525686027
procedural_idx,event_coef,-4.0,1.4129322711831094e-15,5.391966084474402e-10,-1.056804520210857e-09,1.0568073460753994e-09,0.9999979091915139
procedural_idx,event_coef,-3.0,1.0092591289185298e-15,,,,
procedural_idx,event_coef,-2.0,1.6488546639159551e-15,,,,
procedural_idx,event_coef,0.0,1.54303653188137e-15,2.1967139555715924e-09,-4.3054786942203095e-09,4.305481780293373e-09,0.9999994395424027
procedural_idx,event_coef,1.0,1.216221535510127e-15,,,,
procedural_idx,event_coef,2.0,-0.02772866139153851,0.048296894246051214,-0.12238883467893866,0.06693151189586163,0.5658803171209137
procedural_idx,event_coef,3.0,-0.08238031921498594,0.06619972749175733,-0.21212940088519638,0.04736876245522452,0.21334472395244064
procedural_idx,event_coef,4.0,-0.08238031921498606,0.06619972749175729,-0.21212940088519644,0.04736876245522431,0.21334472395243975
procedural_idx,event_coef,5.0,-0.04723121068184005,0.07594256430260685,-0.19607590160856664,0.10161348024488653,0.5339857184224948
procedural_idx,event_coef,6.0,-0.12215661580507893,0.09437875225715894,-0.3071355711349388,0.06282233952478093,0.19555377986148081
procedural_idx,event_coef,7.0,-0.08022182646216434,0.1376010691931919,-0.34991496631502444,0.18947131339069573,0.5598913280326405
procedural_idx,event_coef,8.0,-0.0885369781846122,0.13197568500782889,-0.3472045676349596,0.1701306112657352,0.5023108299325789
procedural_idx,event_coef,-1.0,0.0,0.0,0.0,0.0,
procedural_idx,event_bin,0.0,0.0005939394087441149,0.0013941317236861985,-0.0021385085593855803,0.00332638737687381,0.6700873080219197
procedural_idx,event_bin,2.0,-0.05446055089452091,0.0506037149176388,-0.15364200961702523,0.04472090782798341,0.2818304603127487
procedural_idx,event_bin,4.0,-0.06421182553967106,0.06773041649460577,-0.196961002526996,0.06853735144765388,0.34310396920048725
procedural_idx,event_bin,6.0,-0.09637786740853854,0.11157252613652326,-0.315056000300278,0.12230026548320092,0.3876902860272572
procedural_idx,did_exposure_x_post,,-0.05836560847516475,0.05587484402968121,-0.16787829041513277,0.05114707346480329,0.2962182534215133
procedural_idx,placebo_2021Q4,,0.0013858586204079024,0.003389921603891708,-0.005258265633634101,0.008029982874449906,0.6826737380700612
