unitid,year,pell_share
121071,2009,79.0
121150,2009,23.0
121257,2009,14.0
121275,2009,54.0
121309,2009,23.0
121345,2009,17.0
121363,2009,73.0
121381,2009,91.0
121433,2009,90.0
121619,2009,26.0
121637,2009,49.0
121691,2009,25.0
121707,2009,56.0
121859,2009,72.0
121868,2009,83.0
121877,2009,71.0
121886,2009,48.0
121901,2009,41.0
121983,2009,30.0
121992,2009,51.0
122180,2009,49.0
122205,2009,11.0
122339,2009,63.0
122366,2009,27.0
122375,2009,28.0
122384,2009,31.0
122409,2009,27.0
122436,2009,15.0
122454,2009,39.0
122506,2009,30.0
122597,2009,32.0
122612,2009,28.0
122658,2009,49.0
122685,2009,92.0
122694,2009,86.0
122728,2009,37.0
122746,2009,35.0
122755,2009,31.0
122791,2009,20.0
122834,2009,92.0
122843,2009,69.0
122852,2009,91.0
122889,2009,18.0
122931,2009,15.0
122977,2009,31.0
123013,2009,21.0
123165,2009,11.0
123208,2009,70.0
123217,2009,61.0
123280,2009,60.0
123299,2009,51.0
123341,2009,23.0
123350,2009,46.0
123396,2009,79.0
123457,2009,52.0
123484,2009,62.0
123493,2009,42.0
123509,2009,33.0
123527,2009,50.0
123554,2009,33.0
123563,2009,26.0
123572,2009,20.0
123581,2009,75.0
123642,2009,63.0
123651,2009,56.0
123679,2009,68.0
123800,2009,39.0
123952,2009,31.0
123961,2009,16.0
124113,2009,46.0
124292,2009,39.0
124344,2009,61.0
124487,2009,67.0
124681,2009,81.0
124706,2009,76.0
124779,2009,100.0
124937,2009,71.0
125028,2009,39.0
125082,2009,79.0
125091,2009,57.0
125170,2009,30.0
125231,2009,94.0
125301,2009,3.0
125462,2009,56.0
125471,2009,52.0
125499,2009,25.0
125532,2009,72.0
125727,2009,17.0
125763,2009,32.0
125897,2009,49.0
126076,2009,70.0
126119,2009,60.0
126164,2009,39.0
126182,2009,59.0
126207,2009,46.0
126289,2009,39.0
126359,2009,36.0
126401,2009,84.0
126410,2009,45.0
126562,2009,34.0
126580,2009,28.0
126605,2009,58.0
126614,2009,15.0
126669,2009,29.0
126678,2009,9.0
126687,2009,70.0
126702,2009,47.0
126711,2009,26.0
126748,2009,41.0
126775,2009,16.0
