unitid,adoption_year,cohort,n_years_pre,ever_required
153269,2020,covid,11,1
153278,2020,covid,11,1
153302,2021,covid,7,1
153320,2017,pre_covid,8,1
153366,2020,covid,11,1
153375,2021,covid,12,1
153384,2022,post,13,1
153427,,never,0,0
153603,2021,covid,12,1
153621,2021,covid,12,1
153658,2022,post,13,1
153825,,never,0,1
153834,2020,covid,11,1
153861,,never,0,0
153977,2016,pre_covid,7,1
154004,,never,0,1
154013,2022,post,13,1
154022,,never,0,1
154095,2021,covid,12,1
154101,2021,covid,12,1
154156,,never,0,0
154174,,never,0,0
154235,2020,covid,11,1
154262,2022,post,13,1
154350,2020,covid,11,1
154493,,never,0,1
154518,2021,covid,12,1
154527,2020,covid,11,1
154536,,never,0,0
154590,2016,pre_covid,7,1
154688,2020,covid,11,1
154712,2021,covid,12,1
154721,2021,covid,12,1
154749,2018,pre_covid,9,1
154855,,never,0,1
155007,,never,0,0
155025,2022,post,13,1
155061,2022,post,13,1
155070,,never,0,1
155089,2021,covid,12,1
155140,,never,0,1
155177,,never,0,0
155283,,never,0,0
155308,,never,0,0
155317,2020,covid,11,1
155335,2020,covid,11,1
155399,2022,post,13,1
155414,,never,0,1
155496,2021,covid,8,1
155511,2022,post,13,1
155520,2016,pre_covid,7,1
155627,2021,covid,12,1
155636,,never,0,0
155681,2019,pre_covid,10,1
155812,2020,covid,11,1
155900,2021,covid,12,1
155937,2017,pre_covid,8,1
155973,2022,post,13,1
156082,,never,0,1
156125,2021,covid,12,1
156189,2021,covid,12,1
156213,2019,pre_covid,10,1
156222,,never,0,0
156286,2020,covid,11,1
156295,2021,covid,12,1
156356,2016,pre_covid,7,1
156365,,never,0,1
156408,2020,covid,11,1
156417,,never,0,0
156471,,never,0,0
156541,2020,covid,11,1
156620,2022,post,13,1
156727,,never,0,0
156745,,never,0,1
157021,,never,0,0
157030,,never,0,1
157058,2022,post,13,1
157076,2021,covid,12,1
157085,2021,covid,12,1
157100,2022,post,13,1
157207,,never,0,0
157216,,never,0,0
157289,2020,covid,11,1
157298,,never,0,0
157377,2020,covid,11,1
157386,2022,post,13,1
157401,2020,covid,11,1
157447,2021,covid,12,1
157535,,never,0,1
157748,,never,0,1
157757,2019,pre_covid,10,1
157793,,never,0,0
157809,2022,post,13,1
157818,2018,pre_covid,9,1
157863,2021,covid,12,1
157951,2022,post,13,1
158477,2020,covid,11,1
158802,2021,covid,12,1
159009,2016,pre_covid,7,1
159373,,never,0,0
159382,,never,0,1
159391,2021,covid,12,1
159416,2021,covid,12,1
159568,2022,post,13,1
159647,,never,0,1
159656,,never,0,1
159717,,never,0,1
159939,2021,covid,12,1
159948,,never,0,0
159966,,never,0,1
159993,,never,0,1
160038,2022,post,13,1
160065,2016,pre_covid,6,1
160074,2022,post,13,1
160409,,never,0,0
160533,,never,0,0
160612,2022,post,13,1
160621,,never,0,1
160630,2022,post,12,1
160658,2022,post,13,1
160755,2021,covid,12,1
160904,2021,covid,12,1
160959,,never,0,0
160977,,never,0,0
160995,,never,0,0
161004,,never,0,0
161022,2020,covid,11,1
161086,2018,pre_covid,9,1
161217,,never,0,0
161226,2022,post,13,1
161235,2019,pre_covid,8,1
161244,,never,0,1
161253,2021,covid,12,1
161280,,never,0,0
161299,2022,post,13,1
161341,2022,post,7,1
161457,2018,pre_covid,9,1
161509,2018,pre_covid,9,1
161518,2018,pre_covid,9,1
161554,,never,0,1
161563,,never,0,1
161572,2022,post,13,1
161873,2021,covid,12,1
162007,2017,pre_covid,8,1
162061,2022,post,13,1
162210,2022,post,10,1
162283,,never,0,1
162584,2022,post,13,1
162654,2019,pre_covid,10,1
162760,,never,0,1
162928,2022,post,13,1
163046,,never,0,0
163204,,never,0,0
163259,,never,0,0
163268,2021,covid,12,1
163286,2021,covid,12,1
163295,2022,post,13,1
163338,2022,post,13,1
163453,2021,covid,12,1
163462,2019,pre_covid,10,1
163532,,never,0,1
163578,2017,pre_covid,8,1
163851,2022,post,13,1
163912,2020,covid,11,1
163976,2016,pre_covid,7,1
164076,2020,covid,11,1
164085,,never,0,0
164146,,never,0,0
164155,,never,0,1
164173,,never,0,1
