unitid,adoption_year,cohort,n_years_pre,ever_required
189088,,never,0,0
189097,2021,covid,12,1
189228,,never,0,0
189273,,never,0,0
189282,,never,0,1
189413,,never,0,0
189501,,never,0,0
189565,,never,0,0
189583,,never,0,1
189592,,never,0,1
189705,2020,covid,11,1
189848,2016,pre_covid,7,1
189857,,never,0,0
189981,,never,0,0
190035,,never,0,0
190044,2021,covid,12,1
190080,,never,0,0
190099,2021,covid,12,1
190114,,never,0,1
190150,2021,covid,12,1
190248,2016,pre_covid,7,1
190372,2020,covid,9,1
190415,2020,covid,11,1
190424,,never,0,0
190503,2022,post,13,1
190512,,never,0,1
190549,,never,0,1
190558,,never,0,1
190567,,never,0,1
190576,,never,0,1
190594,,never,0,1
190600,,never,0,1
190637,,never,0,1
190646,,never,0,1
190655,,never,0,1
190664,,never,0,1
190682,,never,0,0
190691,,never,0,1
190716,2020,covid,11,1
190725,,never,0,1
190752,,never,0,0
190761,2017,pre_covid,8,1
190983,2019,pre_covid,10,1
191126,,never,0,1
191205,,never,0,1
191241,2021,covid,12,1
191320,,never,0,0
191515,2020,covid,11,1
191533,,never,0,0
191597,,never,0,0
191621,2021,covid,11,1
191630,,never,0,0
191649,2016,pre_covid,7,1
191676,2016,pre_covid,7,1
191931,2019,pre_covid,10,1
191968,2022,post,13,1
192004,,never,0,0
192040,2021,covid,12,1
192110,,never,0,0
192165,,never,0,0
192192,2016,pre_covid,7,1
192271,2017,pre_covid,8,1
192323,2016,pre_covid,7,1
192448,2021,covid,12,1
192624,,never,0,0
192703,2022,post,11,1
192712,,never,0,1
192749,2021,covid,12,1
192785,2022,post,13,1
192819,2021,covid,12,1
192864,2017,pre_covid,8,1
192925,2018,pre_covid,9,1
193016,2019,pre_covid,10,1
193052,,never,0,0
193061,,never,0,0
193070,,never,0,0
193247,,never,0,0
193292,2020,covid,11,1
193308,2022,post,13,1
193353,2020,covid,11,1
193399,2020,covid,11,1
193405,,never,0,0
193584,,never,0,0
193654,2016,pre_covid,7,1
193751,,never,0,0
193821,,never,0,0
193830,,never,0,0
193894,,never,0,0
193900,2019,pre_covid,10,1
193973,2018,pre_covid,9,1
194073,,never,0,0
194091,2021,covid,12,1
194116,2020,covid,10,1
194161,2021,covid,12,1
194189,,never,0,0
194310,2020,covid,11,1
194392,2022,post,13,1
194499,,never,0,0
194569,,never,0,1
194578,2020,covid,11,1
194657,,never,0,0
194666,,never,0,0
194693,,never,0,0
194718,,never,0,0
194736,,never,0,0
194763,,never,0,0
194824,2021,covid,12,1
194958,2020,covid,11,1
195003,2020,covid,11,1
195030,2017,pre_covid,8,1
195049,,never,0,0
195128,2022,post,13,1
195155,,never,0,0
195164,2021,covid,12,1
195173,,never,0,1
195216,,never,0,0
195234,2022,post,10,1
195243,2022,post,13,1
195304,,never,0,0
195438,,never,0,0
195474,2022,post,13,1
195526,2016,pre_covid,7,1
195544,2021,covid,12,1
195580,,never,0,0
195720,2021,covid,12,1
195809,2017,pre_covid,8,1
195827,,never,0,0
196006,2022,post,13,1
196015,2020,covid,11,1
196024,,never,0,1
196033,2020,covid,11,1
196042,2021,covid,12,1
196051,2022,post,13,1
196060,,never,0,1
196079,2020,covid,11,1
196088,2021,covid,12,1
196097,2021,covid,12,1
196103,,never,0,1
196112,2020,covid,11,1
196121,2020,covid,11,1
196130,2020,covid,11,1
196149,2016,pre_covid,7,1
196158,2020,covid,11,1
196167,2020,covid,11,1
196176,2022,post,13,1
196185,2022,post,13,1
196194,2020,covid,11,1
196200,2022,post,13,1
196219,2017,pre_covid,8,1
196228,,never,0,0
196237,2021,covid,12,1
196246,2021,covid,12,1
196255,,never,0,0
196264,,never,0,0
196291,2021,covid,12,1
196307,,never,0,0
196413,2021,covid,12,1
196431,,never,0,0
196440,,never,0,0
196468,,never,0,0
196583,,never,0,0
196592,2022,post,13,1
196653,2022,post,10,1
196680,,never,0,0
196866,2019,pre_covid,10,1
196884,,never,0,0
197018,,never,0,0
197027,,never,0,1
197036,,never,0,1
197045,2022,post,13,1
197133,2021,covid,12,1
197142,,never,0,0
197151,2021,covid,12,1
197197,2022,post,13,1
197221,2021,covid,10,1
197230,2018,pre_covid,9,1
197285,,never,0,1
197601,,never,0,0
197647,,never,0,0
197674,,never,0,0
197692,,never,0,0
197708,2022,post,13,1
197735,,never,0,0
197744,,never,0,0
197869,2021,covid,12,1
197911,2021,covid,12,1
197984,2017,pre_covid,8,1
197993,2022,post,13,1
198066,2022,post,13,1
198109,,never,0,1
198136,2021,covid,12,1
198215,2020,covid,11,1
198303,2020,covid,11,1
198385,2020,covid,11,1
198419,2022,post,13,1
198464,,never,0,1
198507,2021,covid,12,1
198516,2022,post,13,1
198543,2021,covid,12,1
198561,2020,covid,11,1
198598,2018,pre_covid,9,1
198613,2019,pre_covid,10,1
198677,,never,0,0
198695,2017,pre_covid,8,1
198756,,never,0,1
198808,2020,covid,11,1
198835,,never,0,1
198862,2022,post,13,1
198899,,never,0,1
198950,2020,covid,11,1
198969,2021,covid,12,1
198978,,never,0,0
199032,2020,covid,11,1
199069,2021,covid,12,1
199102,2021,covid,12,1
199111,2021,covid,12,1
199120,2021,covid,12,1
199139,2021,covid,12,1
199148,2021,covid,12,1
199157,2021,covid,12,1
199175,,never,0,0
199184,2021,covid,12,1
199193,2021,covid,12,1
199209,2020,covid,11,1
199218,2021,covid,12,1
199272,2020,covid,11,1
199281,2021,covid,12,1
199306,2017,pre_covid,8,1
199412,2020,covid,11,1
199458,2022,post,13,1
199582,2021,covid,12,1
199607,2019,pre_covid,10,1
199643,2022,post,13,1
199698,,never,0,1
199759,2022,post,9,1
199847,,never,0,0
199865,2016,pre_covid,7,1
199883,,never,0,0
199962,2022,post,13,1
199971,,never,0,0
199999,2021,covid,12,1
200004,2021,covid,12,1
200013,,never,0,1
200022,,never,0,0
200059,2021,covid,11,1
200086,,never,0,0
200156,2020,covid,11,1
200217,2017,pre_covid,8,1
200226,,never,0,1
200253,2022,post,13,1
200280,,never,0,1
200332,2021,covid,12,1
200466,,never,0,0
200484,,never,0,1
200527,,never,0,0
200554,,never,0,0
200572,2020,covid,11,1
200697,,never,0,0
200785,,never,0,1
200800,2022,post,10,1
200873,,never,0,0
201061,2019,pre_covid,10,1
201104,2021,covid,12,1
201140,,never,0,0
201177,,never,0,1
201195,,never,0,0
201371,2022,post,13,1
201432,,never,0,0
201441,2021,covid,12,1
201469,,never,0,0
201548,2021,covid,12,1
201645,2020,covid,11,1
201654,2020,covid,11,1
201690,2017,pre_covid,8,1
201821,2019,pre_covid,10,1
201867,,never,0,1
201885,2021,covid,12,1
201928,,never,0,0
201946,,never,0,0
201955,,never,0,0
201964,,never,0,1
201973,,never,0,0
202046,2017,pre_covid,8,1
202073,2022,post,13,1
202134,2022,post,13,1
202170,2019,pre_covid,10,1
202480,2020,covid,11,1
202514,2020,covid,11,1
202523,2016,pre_covid,7,1
202763,2020,covid,11,1
202806,,never,0,0
202903,2022,post,10,1
202912,2021,covid,12,1
203067,,never,0,0
203085,2020,covid,8,1
203128,2016,pre_covid,7,1
203368,2020,covid,11,1
203447,,never,0,0
203456,,never,0,0
203465,,never,0,0
203474,,never,0,0
203483,,never,0,0
203492,,never,0,0
203517,2021,covid,12,1
203526,,never,0,0
203535,2020,covid,11,1
203544,2020,covid,11,1
203580,2016,pre_covid,7,1
203748,,never,0,0
203757,2020,covid,9,1
203775,2021,covid,12,1
203845,2021,covid,12,1
203960,2019,pre_covid,10,1
203997,,never,0,0
204006,,never,0,0
204015,,never,0,0
204024,2021,covid,12,1
204176,,never,0,1
204185,2021,covid,12,1
204194,2020,covid,11,1
204200,2021,covid,12,1
204255,,never,0,0
204264,2022,post,13,1
204422,,never,0,0
204468,2018,pre_covid,9,1
204477,,never,0,0
204486,,never,0,0
204501,2021,covid,12,1
204617,2017,pre_covid,8,1
204635,2020,covid,11,1
204671,,never,0,0
204680,,never,0,0
204699,,never,0,0
204705,,never,0,0
204796,2020,covid,11,1
204802,,never,0,0
204820,,never,0,0
204839,,never,0,0
204848,,never,0,0
204857,2020,covid,11,1
204866,,never,0,0
204909,2021,covid,12,1
204936,2021,covid,12,1
204990,,never,0,0
205027,2022,post,11,1
205124,,never,0,0
205203,,never,0,0
205391,,never,0,1
205443,,never,0,1
205470,,never,0,0
205957,2021,covid,12,1
206048,2022,post,13,1
206084,2020,covid,7,1
206154,,never,0,0
206279,,never,0,0
206288,,never,0,0
206349,2020,covid,11,1
206394,2022,post,13,1
206437,2016,pre_covid,7,1
206491,2017,pre_covid,8,1
206507,2022,post,13,1
206516,,never,0,0
206525,,never,0,0
206589,2020,covid,11,1
206604,2021,covid,6,1
206613,2021,covid,6,1
206622,2019,pre_covid,10,1
206695,2020,covid,6,1
206817,,never,0,1
206835,2021,covid,11,1
206862,,never,0,0
206914,,never,0,0
206941,,never,0,1
207041,2021,covid,12,1
207157,2021,covid,12,1
207209,,never,0,0
207254,,never,0,1
207263,2021,covid,12,1
207306,,never,0,1
207315,,never,0,0
207324,2022,post,13,1
207342,,never,0,0
207351,,never,0,1
207388,2021,covid,12,1
207397,,never,0,0
207403,2022,post,13,1
207458,2021,covid,12,1
207500,2020,covid,11,1
207564,,never,0,0
207582,2020,covid,11,1
207661,,never,0,1
207722,2017,pre_covid,8,1
207847,,never,0,1
207856,,never,0,1
207865,2022,post,13,1
207971,2021,covid,12,1
208512,,never,0,0
208646,,never,0,1
208725,2022,post,13,1
208822,2020,covid,11,1
209056,2016,pre_covid,7,1
209065,2018,pre_covid,9,1
209241,,never,0,1
209287,2022,post,13,1
209296,,never,0,0
209409,2020,covid,11,1
209490,,never,0,0
209506,2020,covid,11,1
209542,2021,covid,12,1
209551,2020,covid,11,1
209603,,never,0,0
209612,2020,covid,11,1
209807,2016,pre_covid,7,1
209825,2020,covid,11,1
209922,2022,post,13,1
210146,,never,0,1
210304,2022,post,13,1
210331,2020,covid,11,1
210368,,never,0,0
210401,2022,post,13,1
210429,2019,pre_covid,10,1
210438,,never,0,0
210492,2020,covid,11,1
210508,,never,0,0
210571,2022,post,13,1
210669,2017,pre_covid,8,1
210739,2020,covid,11,1
210775,2022,post,13,1
210809,,never,0,0
211024,,never,0,1
211088,2020,covid,11,1
211130,,never,0,0
211158,,never,0,1
211273,2022,post,13,1
211291,2019,pre_covid,10,1
211352,2016,pre_covid,7,1
211361,2020,covid,11,1
211431,2021,covid,12,1
211440,2020,covid,11,1
211468,2022,post,13,1
211477,2021,covid,10,1
211556,,never,0,0
211583,2021,covid,12,1
211608,,never,0,0
211644,,never,0,1
211893,2022,post,10,1
211981,2020,covid,11,1
212009,2022,post,13,1
212054,2021,covid,12,1
212106,2021,covid,12,1
212115,2016,pre_covid,7,1
212133,2017,pre_covid,8,1
212160,2021,covid,12,1
212197,2020,covid,11,1
212443,,never,0,0
212577,,never,0,0
212601,2021,covid,12,1
212656,,never,0,1
212674,2020,covid,11,1
212771,,never,0,0
212805,2020,covid,11,1
212832,2020,covid,11,1
212911,2020,covid,11,1
212984,2021,covid,12,1
212993,,never,0,0
213011,2017,pre_covid,8,1
213020,2021,covid,12,1
213251,2022,post,13,1
213303,2016,pre_covid,7,1
213321,2022,post,13,1
213349,2022,post,13,1
213358,2019,pre_covid,10,1
213367,2022,post,13,1
213376,,never,0,0
213385,2021,covid,12,1
213400,2020,covid,11,1
213446,,never,0,0
213507,,never,0,0
213543,2020,covid,11,1
213598,2022,post,13,1
213613,,never,0,1
213631,,never,0,0
213668,2020,covid,11,1
213774,2016,pre_covid,7,1
213783,2020,covid,11,1
213826,2021,covid,12,1
213987,,never,0,1
213996,2020,covid,11,1
214041,2020,covid,11,1
214069,,never,0,1
214148,2017,pre_covid,8,1
214157,2022,post,13,1
214166,2022,post,13,1
214175,2016,pre_covid,7,1
214272,2020,covid,11,1
214564,,never,0,0
214582,,never,0,0
214661,,never,0,0
214883,,never,0,0
214971,,never,0,0
215053,,never,0,1
215062,2021,covid,12,1
215105,2016,pre_covid,7,1
215114,2022,post,13,1
215123,,never,0,0
215132,2021,covid,12,1
215266,2020,covid,11,1
215275,2020,covid,11,1
215284,2020,covid,11,1
215293,2020,covid,11,1
215415,,never,0,0
215424,,never,0,0
215442,2020,covid,11,1
215619,,never,0,0
215637,2022,post,8,1
215655,2020,covid,11,1
215691,2018,pre_covid,9,1
215743,2022,post,13,1
215770,2016,pre_covid,7,1
215798,2020,covid,11,1
215813,,never,0,0
215929,2022,post,13,1
215947,2022,post,13,1
216010,2021,covid,12,1
216038,,never,0,1
216047,,never,0,1
216278,2022,post,13,1
216287,2021,covid,12,1
216311,,never,0,1
216339,,never,0,1
216348,,never,0,0
216357,2020,covid,11,1
216366,2020,covid,2,1
216463,,never,0,0
216524,2017,pre_covid,8,1
216542,,never,0,1
216597,2021,covid,12,1
216667,2021,covid,12,1
216694,2022,post,13,1
216764,2021,covid,12,1
216807,2019,pre_covid,10,1
216816,,never,0,0
216852,2020,covid,11,1
216931,2021,covid,12,1
217013,2019,pre_covid,10,1
217040,,never,0,0
217059,2021,covid,12,1
217156,2020,covid,11,1
217165,2019,pre_covid,10,1
217235,2022,post,13,1
217305,,never,0,0
217402,,never,0,0
217420,2022,post,13,1
217484,2020,covid,11,1
217493,2020,covid,11,1
217518,2022,post,13,1
217536,2022,post,13,1
217606,,never,0,0
217624,,never,0,1
217633,2022,post,13,1
217688,2021,covid,12,1
217721,2022,post,3,1
217749,,never,0,1
217776,2020,covid,11,1
217819,2020,covid,11,1
217864,2020,covid,11,1
217873,,never,0,1
217882,2021,covid,12,1
217891,,never,0,0
217907,2021,covid,12,1
217925,,never,0,1
217934,2017,pre_covid,8,1
217961,2019,pre_covid,10,1
217998,2021,covid,12,1
218061,2020,covid,11,1
218070,2017,pre_covid,8,1
218113,,never,0,0
218229,2021,covid,12,1
218238,2020,covid,11,1
218335,,never,0,0
218399,,never,0,0
218414,2020,covid,11,1
218441,2021,covid,12,1
218539,2016,pre_covid,7,1
218645,2021,covid,12,1
218654,,never,0,1
218663,2021,covid,12,1
218724,2020,covid,11,1
218733,,never,0,1
218742,2021,covid,12,1
218751,,never,0,0
218821,,never,0,1
218919,,never,0,1
218964,2021,covid,12,1
218973,2017,pre_covid,8,1
219000,2019,pre_covid,10,1
219046,2020,covid,11,1
219082,2020,covid,11,1
219091,2020,covid,11,1
219198,2022,post,13,1
219204,,never,0,0
219240,,never,0,0
219259,2020,covid,11,1
219277,,never,0,0
219295,2020,covid,11,1
219347,2021,covid,12,1
219356,2020,covid,11,1
219374,,never,0,0
219383,,never,0,1
219471,2016,pre_covid,7,1
219505,,never,0,0
219602,,never,0,1
219639,,never,0,1
219709,2021,covid,12,1
219718,2018,pre_covid,9,1
219790,,never,0,1
219806,2022,post,13,1
219833,2020,covid,11,1
219842,,never,0,0
219949,,never,0,1
219976,2021,covid,12,1
220002,,never,0,0
220075,2020,covid,11,1
220181,2022,post,13,1
220206,,never,0,0
220215,2021,covid,12,1
220473,,never,0,1
220516,2017,pre_covid,8,1
220552,,never,0,1
220598,2017,pre_covid,8,1
220604,,never,0,1
220613,2022,post,13,1
220631,2022,post,13,1
220701,,never,0,1
220710,2020,covid,11,1
220792,,never,0,0
220862,2020,covid,11,1
220871,,never,0,0
220978,2021,covid,12,1
220996,,never,0,0
221351,2020,covid,11,1
221519,2019,pre_covid,10,1
221661,2020,covid,5,1
221670,,never,0,0
221731,2021,covid,12,1
221740,2021,covid,12,1
221759,2021,covid,12,1
221768,2021,covid,12,1
221838,,never,0,1
221847,2022,post,13,1
221892,2022,post,13,1
221953,2020,covid,11,1
221971,2022,post,13,1
221999,2021,covid,12,1
222178,2020,covid,11,1
222628,,never,0,0
222831,2020,covid,11,1
222877,,never,0,0
222938,,never,0,0
222983,2018,pre_covid,9,1
222992,,never,0,0
223001,,never,0,0
223083,,never,0,0
223117,,never,0,0
223223,,never,0,0
223232,2021,covid,12,1
223463,,never,0,0
223506,,never,0,0
224004,2020,covid,11,1
224147,2022,post,12,1
224226,2021,covid,12,1
224244,2022,post,13,1
224305,,never,0,0
224323,2020,covid,11,1
224350,,never,0,0
224527,,never,0,1
224545,2021,covid,11,1
224554,2020,covid,11,1
224615,,never,0,0
224660,,never,0,0
224679,,never,0,0
224712,,never,0,0
224776,,never,0,1
224961,,never,0,0
225070,,never,0,0
225201,2017,pre_covid,2,1
225247,2021,covid,12,1
225308,,never,0,0
225399,2020,covid,11,1
225414,2020,covid,6,1
225432,2022,post,9,1
225502,2019,pre_covid,9,1
225511,2020,covid,11,1
225548,2022,post,13,1
225575,2020,covid,11,1
225627,2020,covid,11,1
225885,,never,0,0
226091,2020,covid,11,1
226134,,never,0,0
226152,,never,0,1
226231,2020,covid,11,1
226383,2021,covid,12,1
226408,,never,0,0
226471,2021,covid,12,1
226587,2020,covid,11,1
226806,,never,0,0
226833,,never,0,1
226879,,never,0,0
227182,,never,0,0
227216,2020,covid,11,1
227289,,never,0,0
227304,,never,0,0
227331,2020,covid,11,1
227368,2022,post,13,1
227429,,never,0,1
227526,,never,0,1
227757,2020,covid,11,1
227845,2022,post,13,1
227863,2021,covid,12,1
227881,2021,covid,12,1
227979,,never,0,0
228042,2020,covid,11,1
228149,2020,covid,11,1
228194,,never,0,0
228246,2021,covid,12,1
228325,,never,0,1
228343,2019,pre_covid,10,1
228431,,never,0,1
228459,2021,covid,12,1
228468,2021,covid,10,1
228486,,never,0,0
228501,2016,pre_covid,4,1
228529,2021,covid,12,1
228635,,never,0,0
228644,,never,0,0
228653,,never,0,0
228705,2020,covid,11,1
228723,,never,0,1
228732,,never,0,0
228769,2020,covid,11,1
228778,2021,covid,12,1
228787,2022,post,13,1
228796,2018,pre_covid,9,1
228802,2021,covid,12,1
228866,,never,0,0
228875,2020,covid,11,1
228884,,never,0,0
228909,,never,0,0
228981,2022,post,13,1
229018,2021,covid,12,1
229027,2021,covid,12,1
229063,2021,covid,12,1
229090,,never,0,0
229115,2020,covid,11,1
229160,2020,covid,11,1
229179,2020,covid,11,1
229267,2021,covid,12,1
229300,,never,0,0
229337,,never,0,0
229355,,never,0,0
229407,,never,0,0
229780,2020,covid,11,1
229799,,never,0,0
229814,2021,covid,12,1
229887,,never,0,0
230038,2020,covid,11,1
230047,,never,0,1
230056,,never,0,0
230171,,never,0,0
230366,,never,0,0
230418,,never,0,0
230597,,never,0,0
230603,2021,covid,12,1
230621,,never,0,0
230728,2021,covid,12,1
230737,,never,0,0
230764,2021,covid,12,1
230782,,never,0,0
230807,2020,covid,11,1
230816,,never,0,0
230834,2021,covid,12,1
230852,2018,pre_covid,9,1
230889,,never,0,0
230913,2017,pre_covid,8,1
230959,2021,covid,12,1
230977,,never,0,0
230995,2022,post,13,1
231059,2022,post,13,1
231068,,never,0,0
231095,,never,0,0
231147,,never,0,0
231156,,never,0,0
231165,,never,0,1
231174,2020,covid,11,1
231420,2021,covid,12,1
231554,,never,0,1
231581,2020,covid,11,1
231624,2020,covid,11,1
231651,2022,post,13,1
231712,2016,pre_covid,7,1
231785,,never,0,0
231970,,never,0,0
232016,,never,0,0
232025,2020,covid,11,1
232043,2020,covid,11,1
232089,2020,covid,11,1
232186,2020,covid,11,1
232256,2020,covid,11,1
232265,2022,post,12,1
232308,2022,post,13,1
232423,2017,pre_covid,8,1
232557,,never,0,1
232566,2021,covid,12,1
232609,2022,post,12,1
232618,,never,0,1
232672,2020,covid,11,1
232681,2020,covid,11,1
232706,2020,covid,11,1
232797,,never,0,0
232885,,never,0,0
232937,2022,post,13,1
232982,,never,0,1
233277,2021,covid,12,1
233295,2022,post,13,1
233301,2019,pre_covid,10,1
233356,,never,0,1
233374,2022,post,13,1
233408,,never,0,0
233426,2020,covid,11,1
233541,,never,0,1
233602,,never,0,0
233611,2022,post,12,1
233684,,never,0,0
233718,2020,covid,11,1
233842,,never,0,0
233897,2021,covid,12,1
233921,2021,covid,12,1
234030,2021,covid,12,1
234076,2021,covid,12,1
234085,2021,covid,12,1
234137,,never,0,0
234155,2021,covid,12,1
234164,2017,pre_covid,6,1
234173,2020,covid,11,1
234207,2021,covid,12,1
234669,,never,0,0
234696,,never,0,0
234711,,never,0,0
234827,,never,0,1
234845,,never,0,0
234915,,never,0,0
234933,,never,0,0
234951,,never,0,0
234979,,never,0,0
235024,,never,0,1
235097,2020,covid,11,1
235103,,never,0,0
235167,2017,pre_covid,8,1
235237,,never,0,0
235316,2020,covid,11,1
235334,,never,0,0
235343,,never,0,0
235422,,never,0,0
235431,,never,0,0
235547,,never,0,0
235699,,never,0,0
235750,,never,0,0
236072,,never,0,0
236133,2021,covid,12,1
236188,,never,0,0
236230,2019,pre_covid,10,1
236258,,never,0,0
236328,2021,covid,12,1
236382,,never,0,0
236452,2020,covid,11,1
236504,,never,0,0
236513,,never,0,0
236577,2022,post,13,1
236595,2020,covid,11,1
236638,,never,0,0
236692,,never,0,0
236708,,never,0,0
236753,,never,0,0
236887,,never,0,0
236896,,never,0,1
236939,,never,0,1
236948,,never,0,1
236975,,never,0,0
237011,2020,covid,11,1
237039,,never,0,0
237057,2016,pre_covid,7,1
237066,2016,pre_covid,7,1
237109,,never,0,0
237118,2021,covid,12,1
237136,,never,0,1
237181,2020,covid,11,1
237215,2022,post,13,1
237312,2017,pre_covid,8,1
237330,2020,covid,11,1
237358,2022,post,13,1
237367,,never,0,1
237385,,never,0,1
237525,2022,post,13,1
237640,2019,pre_covid,10,1
237686,,never,0,0
237701,,never,0,0
237783,,never,0,0
237792,2021,covid,12,1
237880,,never,0,0
237899,2022,post,13,1
237905,,never,0,1
237932,2022,post,13,1
237950,2020,covid,11,1
237969,2020,covid,11,1
238032,2020,covid,11,1
238078,2021,covid,12,1
238193,,never,0,1
238263,,never,0,0
238324,2021,covid,12,1
238333,2016,pre_covid,7,1
238430,2021,covid,12,1
238458,2021,covid,12,1
238476,2016,pre_covid,7,1
238573,,never,0,0
238616,2020,covid,11,1
238661,,never,0,1
238980,,never,0,1
239017,2016,pre_covid,7,1
239071,2017,pre_covid,8,1
239080,2021,covid,12,1
239105,2020,covid,11,1
239169,,never,0,0
239309,2022,post,13,1
239318,2020,covid,11,1
239390,2020,covid,11,1
239424,,never,0,0
239512,2020,covid,11,1
239628,2017,pre_covid,8,1
239637,,never,0,0
239716,2020,covid,11,1
240107,2020,covid,11,1
240189,2020,covid,11,1
240213,,never,0,0
240268,2020,covid,11,1
240277,2020,covid,11,1
240329,2020,covid,11,1
240338,2020,covid,11,1
240365,2020,covid,11,1
240374,2020,covid,11,1
240392,,never,0,1
240417,2020,covid,11,1
240426,2020,covid,11,1
240435,,never,0,0
240444,2020,covid,11,1
240453,2020,covid,11,1
240462,2020,covid,11,1
240471,2020,covid,11,1
240480,2020,covid,11,1
240514,,never,0,0
240620,,never,0,0
240657,,never,0,0
240693,,never,0,0
240727,,never,0,1
240736,,never,0,0
240745,,never,0,0
240754,,never,0,0
240790,,never,0,0
241100,,never,0,0
241128,,never,0,0
241191,,never,0,1
241216,,never,0,0
241225,,never,0,1
241304,,never,0,0
241331,,never,0,1
241377,,never,0,0
241386,,never,0,0
241395,2022,post,13,1
241410,2022,post,13,1
241517,,never,0,0
241614,,never,0,0
241720,,never,0,0
241739,,never,0,1
241766,,never,0,0
241793,,never,0,0
241836,,never,0,0
241951,2022,post,13,1
242060,,never,0,0
242112,,never,0,0
242121,,never,0,0
242617,,never,0,1
242626,,never,0,1
242635,,never,0,1
242644,,never,0,1
242653,,never,0,1
242662,,never,0,1
242671,,never,0,0
242680,,never,0,1
242699,,never,0,1
242705,,never,0,1
242723,,never,0,0
242972,,never,0,0
243081,,never,0,1
243106,,never,0,1
243115,,never,0,1
243133,,never,0,0
243142,,never,0,1
243151,,never,0,1
243160,,never,0,0
243179,,never,0,1
243188,,never,0,1
243197,,never,0,0
243203,,never,0,0
243212,,never,0,1
243221,,never,0,1
243346,,never,0,1
243443,,never,0,0
243498,,never,0,0
243568,2022,post,13,1
243577,,never,0,0
243586,2022,post,13,1
243601,,never,0,1
243638,2022,post,8,1
243665,2017,pre_covid,8,1
243744,2021,covid,12,1
243780,2021,covid,12,1
243823,,never,0,0
243832,,never,0,1
244233,,never,0,0
245652,2017,pre_covid,8,1
245777,,never,0,0
245838,,never,0,0
245847,,never,0,0
245865,,never,0,0
245883,,never,0,0
245892,,never,0,0
245953,,never,0,0
246345,,never,0,0
246789,,never,0,1
247065,,never,0,0
247083,,never,0,0
247162,,never,0,0
247649,2017,pre_covid,8,1
247773,,never,0,0
247825,,never,0,0
247834,,never,0,0
248934,,never,0,0
251312,,never,0,1
260372,,never,0,0
260789,,never,0,0
260813,2022,post,13,1
260992,,never,0,1
262022,,never,0,0
262086,,never,0,0
262129,,never,0,1
262165,2020,covid,5,1
363712,,never,0,0
363721,,never,0,0
363907,,never,0,0
363916,,never,0,0
363934,2022,post,13,1
366003,,never,0,0
366252,,never,0,0
366340,,never,0,0
366368,,never,0,0
366553,,never,0,0
366605,,never,0,0
366711,,never,0,1
367884,,never,0,1
367954,,never,0,0
368443,,never,0,0
368452,,never,0,1
369002,,never,0,0
369516,,never,0,0
369659,,never,0,0
372073,,never,0,0
374024,,never,0,0
375230,,never,0,0
376224,,never,0,0
376321,,never,0,0
376385,,never,0,0
376695,,never,0,1
377342,,never,0,0
377546,,never,0,1
377555,2022,post,13,1
377564,,never,0,1
377661,,never,0,1
378576,,never,0,0
380359,,never,0,0
380377,,never,0,0
380438,,never,0,0
380465,,never,0,0
381352,,never,0,0
381459,,never,0,0
383020,,never,0,0
384254,,never,0,1
384306,,never,0,0
384412,,never,0,0
384421,,never,0,0
385415,,never,0,0
385619,,never,0,1
386472,,never,0,1
388520,,never,0,0
392257,,never,0,0
399869,,never,0,0
399911,2020,covid,11,1
401223,,never,0,0
401250,,never,0,0
402776,,never,0,0
404222,,never,0,0
404338,,never,0,0
404480,,never,0,0
404806,,never,0,0
404994,,never,0,0
405058,,never,0,0
405854,,never,0,0
406024,,never,0,0
406033,,never,0,0
407610,,never,0,0
407629,,never,0,0
408844,,never,0,0
409254,,never,0,0
409315,,never,0,0
409616,,never,0,0
409698,,never,0,1
412599,,never,0,0
413413,,never,0,0
413617,,never,0,0
414595,,never,0,0
414823,,never,0,1
414878,,never,0,0
414966,,never,0,0
416801,,never,0,0
417053,,never,0,0
417734,2018,pre_covid,9,1
417752,2022,post,13,1
418126,,never,0,1
420024,,never,0,0
420042,,never,0,0
420246,,never,0,0
420325,,never,0,0
420705,,never,0,0
420802,,never,0,0
421708,,never,0,0
421832,,never,0,0
421878,,never,0,0
422695,,never,0,0
423643,,never,0,0
426314,2022,post,13,1
428259,,never,0,0
428453,,never,0,0
429085,,never,0,0
429094,,never,0,0
430184,,never,0,0
430485,,never,0,0
430670,,never,0,0
430704,,never,0,0
431983,,never,0,0
432348,,never,0,0
432384,,never,0,0
433004,2022,post,7,1
433013,,never,0,0
433174,,never,0,1
433387,,never,0,0
433420,,never,0,0
433536,,never,0,1
433660,,never,0,1
434441,,never,0,0
434584,,never,0,0
434715,,never,0,0
434900,,never,0,0
434937,,never,0,0
435000,,never,0,0
436261,,never,0,0
436429,,never,0,0
436614,,never,0,0
436818,,never,0,1
436827,,never,0,1
436836,,never,0,1
437097,,never,0,0
437316,,never,0,0
437325,,never,0,0
438151,,never,0,0
438498,,never,0,0
438586,,never,0,0
438665,,never,0,0
439020,,never,0,0
439154,,never,0,0
439190,,never,0,0
439288,,never,0,1
439367,,never,0,0
439394,,never,0,0
439446,,never,0,0
439701,2020,covid,11,1
439783,,never,0,0
439817,,never,0,0
439862,,never,0,0
439871,,never,0,0
439914,,never,0,0
439969,,never,0,0
440004,,never,0,0
440031,,never,0,0
440138,,never,0,0
440396,,never,0,1
440651,,never,0,0
440749,,never,0,0
440794,,never,0,0
