corpus,family,protocol,dimension,group,metric,value,ci_lo,ci_hi,n
ellipse,handfeat,lopo,gender,Female,smd,0.0073,,,2846
ellipse,handfeat,lopo,gender,Female,qwk,0.3399,,,2846
ellipse,handfeat,lopo,gender,Female,exact,0.338,,,2846
ellipse,handfeat,lopo,gender,Female,pearson_r,0.4664,,,2846
ellipse,handfeat,lopo,gender,Female,rmse,0.5783,,,2846
ellipse,handfeat,lopo,gender,Female - Male,raw_differential,0.0031,-0.0236,0.0305,2846
ellipse,handfeat,lopo,gender,Female - Male,conditional_differential,0.0552,0.0418,0.0684,2846
ellipse,handfeat,lopo,race_ethnicity,White,mean_human,3.1624,,,471
ellipse,handfeat,lopo,race_ethnicity,White,mean_machine,3.1288,,,471
ellipse,handfeat,lopo,race_ethnicity,White,mean_gap,-0.0336,,,471
ellipse,handfeat,lopo,race_ethnicity,White,smd,-0.0631,,,471
ellipse,handfeat,lopo,race_ethnicity,White,qwk,0.4115,,,471
ellipse,handfeat,lopo,race_ethnicity,White,exact,0.3567,,,471
ellipse,handfeat,lopo,race_ethnicity,White,pearson_r,0.52,,,471
ellipse,handfeat,lopo,race_ethnicity,White,rmse,0.5753,,,471
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,mean_human,3.0659,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,mean_machine,3.0778,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,mean_gap,0.0119,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,smd,0.024,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,qwk,0.3732,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,exact,0.3618,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,pearson_r,0.4879,,,4635
ellipse,handfeat,lopo,race_ethnicity,Hispanic/Latino,rmse,0.5498,,,4635
ellipse,handfeat,lopo,race_ethnicity,Black/African American,mean_human,3.1951,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,mean_machine,3.171,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,mean_gap,-0.0242,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,smd,-0.0491,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,qwk,0.3201,,,515
ellipse,handfeat,lopo,race_ethnicity,Black/African American,exact,0.365,,,515
