kind,verifier,point,value,n,exposure,outcome,group,failures,rate,wilson_lo,wilson_hi,comparison_rate,risk_diff,ratio,p_fisher
rate,facenet,fmr01pct,,999,1.0,cannot_verify,T2_mid,57.0,0.0571,0.0443,0.0732,,,,
rate,facenet,fmr01pct,,1000,1.0,cannot_verify,T3_dark,79.0,0.079,0.0638,0.0974,,,,
contrast,facenet,fmr01pct,,2001,1.0,cannot_verify,T3_dark vs T1_light,,0.079,,,0.0879,-0.0089,0.9,0.5179850928306207
trend,facenet,fmr01pct,,3000,1.0,match,spearman_ita,,,,,,,0.015,0.41091964212564935
threshold,sface,fmr1pct,0.2899,2961,,,,,,,,,,,
rate,sface,fmr1pct,,979,0.15,fnmr,T1_light,33.0,0.0337,0.0241,0.047,,,,
rate,sface,fmr1pct,,994,0.15,fnmr,T2_mid,32.0,0.0322,0.0229,0.0451,,,,
rate,sface,fmr1pct,,988,0.15,fnmr,T3_dark,34.0,0.0344,0.0247,0.0477,,,,
contrast,sface,fmr1pct,,1967,0.15,fnmr,T3_dark vs T1_light,,0.0344,,,0.0337,0.0007,1.02,1.0
rate,sface,fmr1pct,,1001,0.15,cannot_verify,T1_light,55.0,0.0549,0.0425,0.0708,,,,
rate,sface,fmr1pct,,999,0.15,cannot_verify,T2_mid,37.0,0.037,0.027,0.0506,,,,
rate,sface,fmr1pct,,1000,0.15,cannot_verify,T3_dark,46.0,0.046,0.0347,0.0608,,,,
contrast,sface,fmr1pct,,2001,0.15,cannot_verify,T3_dark vs T1_light,,0.046,,,0.0549,-0.0089,0.84,0.4141049423824177
trend,sface,fmr1pct,,3000,0.15,match,spearman_ita,,,,,,,0.0077,0.6723271385129201
rate,sface,fmr1pct,,982,0.25,fnmr,T1_light,31.0,0.0316,0.0223,0.0445,,,,
rate,sface,fmr1pct,,995,0.25,fnmr,T2_mid,33.0,0.0332,0.0237,0.0462,,,,
rate,sface,fmr1pct,,987,0.25,fnmr,T3_dark,33.0,0.0334,0.0239,0.0466,,,,
contrast,sface,fmr1pct,,1969,0.25,fnmr,T3_dark vs T1_light,,0.0334,,,0.0316,0.0019,1.06,0.8990201629876149
rate,sface,fmr1pct,,1001,0.25,cannot_verify,T1_light,50.0,0.05,0.0381,0.0652,,,,
rate,sface,fmr1pct,,999,0.25,cannot_verify,T2_mid,37.0,0.037,0.027,0.0506,,,,
rate,sface,fmr1pct,,1000,0.25,cannot_verify,T3_dark,46.0,0.046,0.0347,0.0608,,,,
contrast,sface,fmr1pct,,2001,0.25,cannot_verify,T3_dark vs T1_light,,0.046,,,0.05,-0.004,0.92,0.7538432396942579
trend,sface,fmr1pct,,3000,0.25,match,spearman_ita,,,,,,,-0.0048,0.7912788414258347
rate,sface,fmr1pct,,986,0.35,fnmr,T1_light,29.0,0.0294,0.0206,0.0419,,,,
rate,sface,fmr1pct,,995,0.35,fnmr,T2_mid,34.0,0.0342,0.0246,0.0474,,,,
rate,sface,fmr1pct,,988,0.35,fnmr,T3_dark,32.0,0.0324,0.023,0.0454,,,,
contrast,sface,fmr1pct,,1974,0.35,fnmr,T3_dark vs T1_light,,0.0324,,,0.0294,0.003,1.1,0.7950206060507585
