unitid,urm_share
115755,0.4622901528438988
115773,0.5510204081632653
115861,0.9261247443762781
115931,0.6530612244897959
116226,0.18340611353711792
116350,0.35507246376811596
116439,0.3267830635470418
116563,0.5086705202312138
116712,0.4117647058823529
116846,0.046153846153846156
117052,0.7636291285316354
117104,0.46819787985865724
117113,0.4709562109025916
117140,0.5973621542407034
117168,0.25396825396825395
117195,0.38011695906432746
117238,0.647887323943662
117247,0.49231332357247437
117274,0.5253704535249214
117557,0.11594202898550725
117575,0.4025974025974026
117627,0.5848191543555782
117636,0.43820224719101125
117645,0.7548979922279793
117672,0.40669856459330145
117690,0.7411702127659574
117706,0.5727034629935008
117715,0.9419984973703982
117724,0.8599890455976996
117733,0.5794131845732983
117751,0.1731190650109569
117788,0.6567578279825604
117803,0.505
117867,0.8258911460329629
117894,0.6416131989000916
117928,0.49206349206349204
117946,0.3473885960709152
117955,0.7014925373134329
118134,0.6176470588235294
118143,0.48333333333333334
118161,0.28776978417266186
118189,0.7075471698113207
118198,0.39223057644110276
118259,0.5089285714285714
118277,0.48623853211009177
118286,0.5994962216624685
118347,0.38907667674790963
118541,0.4989384288747346
118684,0.40514393581878244
118693,0.3962025316455696
118718,0.6753488372093023
118772,0.6275984077841663
118888,0.4445797807551766
118912,0.47794067968380516
118930,0.3609557702084393
118958,0.9565217391304348
118967,0.5823045267489712
118976,0.552476815200181
118994,0.8816568047337278
119058,0.45
119067,0.4992962252079335
119137,0.4097787294789436
119164,0.6972424098349521
119173,0.7099964676792653
119216,0.6332838613925276
119270,0.2433758586849853
119331,0.5393623942745608
119553,0.41131664853101196
119605,0.44428416877028487
119775,0.38164251207729466
119845,0.6556291390728477
119951,0.5663716814159292
120069,0.8761467889908257
120078,0.7206349206349206
120087,0.6458333333333334
120184,0.5458248472505092
120254,0.2823768410360589
120272,0.5675675675675675
120290,0.3431832076625229
120342,0.40619391652478026
120403,0.1573802541544477
120421,0.7950808151791989
120537,0.4578563995837669
120661,0.6198738170347003
120698,0.10828025477707007
120768,0.6915708812260536
120838,0.0
120865,0.4139372822299652
120883,0.2833763996554694
120953,0.5404053039779835
120971,0.5085482589976174
121044,0.5805632247377139
121150,0.24703557312252963
121257,0.3069679849340866
121275,0.4158415841584158
121309,0.35025041736227047
121345,0.3122200895713372
121363,0.8109884949518666
121433,0.975609756097561
121619,0.568966737438075
121637,0.25757575757575757
121691,0.37720111214087115
121707,0.3349292256452956
121859,0.7080745341614907
121868,0.5316455696202531
121886,0.8066077003121748
121901,0.7250559967420077
121983,0.7207207207207207
121992,0.0
122117,0.09375
122180,0.5031303874421559
122205,0.3360989514404968
122296,0.2981029810298103
122339,0.6631591534138467
122366,0.1282051282051282
122375,0.5055602716468591
122384,0.39437576416247794
122409,0.420629604822505
122436,0.29154263701628436
122454,0.29289940828402367
122506,0.2127659574468085
122597,0.41938716515706304
122612,0.31475166790214976
122658,0.6077781460612087
122685,0.6889969385917523
122728,0.2995708154506438
122746,0.5522718876985593
122755,0.3535487288135593
122791,0.4109195402298851
122834,0.7843601895734598
122852,0.7884615384615384
122889,0.4339622641509434
122931,0.2752850312614932
122977,0.5310756455170624
123013,0.41523306782297215
123165,0.2136669874879692
123217,0.7146918638682164
123280,0.08695652173913043
123299,0.26020023683927224
123341,0.36208153423428474
123350,0.6222222222222222
123457,0.2620253164556962
123484,0.3054690973766118
123493,0.42686567164179107
123509,0.3993889591234724
123527,0.8205974842767295
123554,0.37044967880085655
123563,0.539543960558751
123572,0.4019232997335187
123633,0.04980842911877394
123642,0.4943820224719101
123651,0.474036850921273
123679,0.2870201096892139
123800,0.7822395471778715
123952,0.16030534351145037
123961,0.23837394913270193
124113,0.645643153526971
124292,0.22797927461139897
124487,0.5497076023391813
124681,0.9933110367892977
124706,0.6597938144329897
124779,0.44
124937,0.7224669603524229
125028,0.6608046066453972
