institution,unitid,state,control,carnegie,page_type,timestamp,statuscode,digest,original_url,archived_url,local_path,bytes
University of Wollongong,9000004,AU,Public,R2,ai,20230924145559,200,DYBNDBK5DXKQXP6XWQPQDKMA5YJAB4TS,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,,data/snapshots_raw/9000004/ai/www_uow_edu_au_about_governance_academic_integrity_students_ai_chatgpt__20230924145559.html,33104
University of Wollongong,9000004,AU,Public,R2,ai,20240403193659,200,O2K62QW2W243V3NPOSEVWMRP6QW3LHB3,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,,data/snapshots_raw/9000004/ai/www_uow_edu_au_about_governance_academic_integrity_students_ai_chatgpt__20240403193659.html,32710
University of Wollongong,9000004,AU,Public,R2,ai,20240424103432,200,EHNZEILDX6JWGR2XROU7HKB7APTWTEO3,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,,data/snapshots_raw/9000004/ai/www_uow_edu_au_about_governance_academic_integrity_students_ai_chatgpt__20240424103432.html,32615
University of Wollongong,9000004,AU,Public,R2,ai,20240725110335,200,NG7T2NOJJZDY5ZCSHDNW7NWUINXEHP7O,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,,data/snapshots_raw/9000004/ai/www_uow_edu_au_about_governance_academic_integrity_students_ai_chatgpt__20240725110335.html,50382
University of Wollongong,9000004,AU,Public,R2,ai,20241022194404,200,MDW52KJQXBR37V4RGXIFGEM5D6UM2CAS,https://www.uow.edu.au/about/governance/academic-integrity/students/ai_chatgpt/,,data/snapshots_raw/9000004/ai/www_uow_edu_au_about_governance_academic_integrity_students_ai_chatgpt__20241022194404.html,53812
McMaster University,9000005,CA,Public,R1,integrity,20210107060719,200,6BGEZ76PCEWXTWGG3LNOI2DGH2CM7R5O,https://www.mcmaster.ca/academicintegrity/,,data/snapshots_raw/9000005/integrity/www_mcmaster_ca_academicintegrity__20210107060719.html,22772
McMaster University,9000005,CA,Public,R1,integrity,20210126183743,200,FKPYYXLP5TFSDKSQA3C4DWR2EG4QRINJ,https://www.mcmaster.ca/academicintegrity/,,data/snapshots_raw/9000005/integrity/www_mcmaster_ca_academicintegrity__20210126183743.html,22652
Queen's University,9000006,CA,Public,R1,integrity,20210417080055,200,ZXKTWBPKGCSBYV3AG6BIPJV5K3BZBGEN,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20210417080055.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20210810105459,200,FN2CUZPRDM2M5AHOACNJZ43YTCMFZFGQ,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20210810105459.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20210910093417,200,63XKQXQ5LHCE4UQFTXZRHP7DBNERXI7W,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20210910093417.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20211021012944,200,AW64PGI33AIAAOO2Q4GWKS2OTU3YHM4B,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20211021012944.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20211110051939,200,CMAG7FE6ZOH4C5NSIGALR3GC56BGOBNL,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20211110051939.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20220110042530,200,EFKY3TSTY6G5KPEZR46L6TX2JVNHQD2T,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220110042530.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20220125160935,200,SZ5MUAI2MGYJY6PKZOUGZIUZHGTF3FO3,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220125160935.html,52101
Queen's University,9000006,CA,Public,R1,integrity,20220210042131,200,3VCMP4S56V5QH3WYKHLSG2PSIQFQN4HW,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220210042131.html,47605
Queen's University,9000006,CA,Public,R1,integrity,20220310114020,200,T4PCWKGV3T62FWCMKTWSMCDFUGCMX7RV,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220310114020.html,45659
Queen's University,9000006,CA,Public,R1,integrity,20220710071422,200,LWP3TUX5DDG4S2SV5XJIZUE45STVMAMH,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220710071422.html,45810
Queen's University,9000006,CA,Public,R1,integrity,20220910131925,200,FH5JO4UTHFIK2OJTK6NVYAOGX3C23FXC,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20220910131925.html,45493
Queen's University,9000006,CA,Public,R1,integrity,20221210135639,200,QPTGH2PIAOF2FZKH3VSZ5OUCZZ5UUUBY,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20221210135639.html,46701
Queen's University,9000006,CA,Public,R1,integrity,20230411163524,200,YZMUAMBBGI54ZQGDK2U4BGTNMREIWAKT,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20230411163524.html,49190
Queen's University,9000006,CA,Public,R1,integrity,20231206201634,200,NO574KST25AG56ME3CYSTQKO5XGCD43H,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20231206201634.html,72726
Queen's University,9000006,CA,Public,R1,integrity,20240304160127,200,IR3APVQJBZP5LX2SQC3FFQIJLEHLR5IC,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20240304160127.html,73087
Queen's University,9000006,CA,Public,R1,integrity,20240718224747,200,5HIUYQX6A4CIAMCK4NJIZ6VO5EO7AVON,https://www.queensu.ca/academicintegrity/,,data/snapshots_raw/9000006/integrity/www_queensu_ca_academicintegrity__20240718224747.html,72964
Queen's University,9000006,CA,Public,R1,ai,20210428113235,200,2GN6ILIHAOGX2IRBZOBD7KUYE5WSWYSG,https://www.queensu.ca/academicintegrity/ai-queens,,data/snapshots_raw/9000006/ai/www_queensu_ca_academicintegrity_ai_queens__20210428113235.html,52248
Queen's University,9000006,CA,Public,R1,ai,20211201165745,200,UXQ2JHZ4HG73G626PEOVLQPNXQCNH36O,https://www.queensu.ca/academicintegrity/ai-queens,,data/snapshots_raw/9000006/ai/www_queensu_ca_academicintegrity_ai_queens__20211201165745.html,52248
Toronto Metropolitan University,9000007,CA,Public,R2,integrity,20220613233556,200,76DYLKL5EPWL2KL3JZVICPXOYJ35D7ZX,https://www.torontomu.ca/academicintegrity/,,data/snapshots_raw/9000007/integrity/www_torontomu_ca_academicintegrity__20220613233556.html,42792
Toronto Metropolitan University,9000007,CA,Public,R2,integrity,20220711090905,200,EESIQROBBJSYFI7FOGRP57HO52MLK2JH,https://www.torontomu.ca/academicintegrity/,,data/snapshots_raw/9000007/integrity/www_torontomu_ca_academicintegrity__20220711090905.html,42792
Toronto Metropolitan University,9000007,CA,Public,R2,integrity,20220925202611,200,JECSOP2NAANYYFGGHJ36A5CZ3YRBXCEF,https://www.torontomu.ca/academicintegrity/,,data/snapshots_raw/9000007/integrity/www_torontomu_ca_academicintegrity__20220925202611.html,37957
