draw,w_achievement,w_grad,w_quality,w_growth,n_identified,mean_poverty_identified,share_identified_top_pov_quartile
68,0.2117363683238353,0.2040748905802816,0.17747709610315013,0.40671164499273293,4982,0.7419883915929436,0.42211963067041347
69,0.37883043115473763,0.10461554897843285,0.17333188544265185,0.3432221344241776,4847,0.7519651330599771,0.44501753662059007
70,0.3534017407952304,0.23213210860510367,0.20489772420921504,0.2095684263904507,4721,0.7599306983657977,0.468756619360305
71,0.4249632633666815,0.19128603224918708,0.08474488885343848,0.299005815530693,5023,0.7627558130746809,0.46446346804698385
72,0.683852711700523,0.05244702321825296,0.20482673778164562,0.05887352729957863,4565,0.762278861873797,0.4757940854326396
73,0.4032276028104819,0.15489063831860292,0.13915116178350265,0.30273059708741257,4886,0.7596833182980994,0.45988538681948427
74,0.21205268192017604,0.2782395618312049,0.15904197319022478,0.35066578305839413,5002,0.7465600399906728,0.4318272690923631
75,0.4748321102667022,0.1735083683621694,0.049328754545355964,0.30233076682577237,5086,0.7638043740877759,0.46775462052693667
76,0.3341359678191103,0.2258918835949065,0.12223649491353632,0.31773565367244694,4993,0.7572293133672519,0.45263368716202684
77,0.5978833834317933,0.12250552682250693,0.08407481372096917,0.19553627602473062,4843,0.7706775696326493,0.4875077431344208
78,0.5655161384423769,0.17345051675104597,0.1891853820142208,0.07184796279235636,4622,0.7688956360832151,0.4898312418866292
79,0.4426132048535372,0.08846755433425278,0.0795283463639865,0.3893908944482236,5049,0.7529528407420953,0.44404832640126757
80,0.49045025485080107,0.19533755785766016,0.26467217289415773,0.04954001439738105,4556,0.7624964633596267,0.4822212467076383
81,0.4710489503833887,0.11301529591950756,0.08376377154146913,0.33217198215563465,5001,0.7594405411315255,0.4579084183163367
82,0.4319633241783673,0.14451421612231818,0.29880151690074147,0.12472094279857303,4555,0.7554252453520105,0.4649835345773875
83,0.43178841900035747,0.008963426521367881,0.08817042073517187,0.4710777337431028,5076,0.739414518286424,0.4180457052797478
84,0.47575645274062983,0.1797973695073679,0.08717206872595931,0.257274109026043,4946,0.767146702601644,0.47735543873837444
85,0.21102496478593244,0.25705929292861207,0.19917007918694787,0.3327456630985076,4886,0.7480890978876251,0.43778141629144496
86,0.5188283507298448,0.030112695381487246,0.11587353785994504,0.3351854160287229,4892,0.7535230645552694,0.4476696647587899
87,0.35216825320683315,0.3418628112378987,0.23113507598204,0.07483385957322816,4623,0.7644231549856458,0.4838849232100368
88,0.47739018254093946,0.26681742117826174,0.08465078111885144,0.17114161516194737,4929,0.776850980526232,0.501724487725705
89,0.4678517390097034,0.3033814051733768,0.11384314682327175,0.114923708993648,4832,0.776492925945688,0.5024834437086093
90,0.525117939830474,0.2033502902399546,0.14432853819765668,0.12720323173191478,4724,0.7720869706356219,0.4961896697713802
91,0.46100843377193473,0.01260277432782619,0.3340763772346908,0.1923124146655483,4605,0.7476824087242593,0.44625407166123776
92,0.6112538461369036,0.038958048658159466,0.14542354473571242,0.2043645604692244,4703,0.7598507898663553,0.4652349564108016
93,0.2671185626014103,0.23897718359399472,0.16299425824499614,0.3309099955595986,4933,0.7519995661654589,0.4443543482667748
94,0.322033358676278,0.17054614097142473,0.2126872705730106,0.2947332297792866,4773,0.7534465719836119,0.45170752147496335
95,0.3577604489771552,0.11235008810368478,0.3954112711721952,0.13447819174696468,4515,0.7468883522261203,0.4487264673311185
96,0.4543875778430544,0.24176046331091455,0.10776059105412487,0.19609136779190625,4874,0.7714008720943717,0.4897414854329093
97,0.38826236111569284,0.17465933098866945,0.15937264551584776,0.27770566237978994,4825,0.7590707534446247,0.46196891191709843
98,0.43313359743023455,0.29045418698008596,0.19503061263763072,0.08138160295204883,4660,0.7688545121118189,0.4907725321888412
99,0.5784336884688759,0.03514750806007072,0.15659766668234854,0.22982113678870486,4715,0.7568104022151607,0.45832449628844113
100,0.4127128778866256,0.482362884193278,0.10132458052102603,0.0035996573990702127,4883,0.7845926701446113,0.5246774523858284
101,0.27563569816015143,0.2903669885767144,0.08619805844093428,0.34779925482219987,5158,0.7514910968713356,0.4391236913532377
102,0.25059694174762226,0.19101758981764905,0.22494246671013884,0.3334430017245898,4818,0.7479841588677987,0.4396014943960149
103,0.4060389920500261,0.13787892788161132,0.16912505353066162,0.2869570265377009,4787,0.7572539939662553,0.4572801336954251
104,0.4345007126755038,0.2642626807819921,0.14981780715455587,0.1514187993879483,4757,0.7697701688496961,0.49022493167963
105,0.5265573164297565,0.10148696154910647,0.2630896217357983,0.10886610028533893,4583,0.7581572122364958,0.4695614226489199
106,0.36420501747342,0.1585409109770369,0.15584954787802274,0.3214045236715204,4886,0.7562640573345812,0.4529267294310274
107,0.27026813998685806,0.2423453088568103,0.14712849763678645,0.3402580535195452,4979,0.7511334748324884,0.44024904599317133
108,0.4192723918332915,0.17989428693855328,0.17257216548976376,0.22826115573839137,4762,0.7615095432891674,0.46997060058798823
109,0.4145835446848693,0.10804021607506198,0.1031545534628209,0.3742216857772479,5012,0.7526542962085075,0.44373503591380686
110,0.42452058256024355,0.060727914251399166,0.21689813794676227,0.29785336524159495,4740,0.7506402486899368,0.4438818565400844
111,0.37767454576879966,0.26956444696633425,0.13487231911743927,0.21788868814742665,4865,0.7658636734439743,0.47687564234326824
112,0.3119389976443325,0.056202151044732855,0.1977957843886087,0.43406306692232594,4893,0.7398141601463911,0.4187614960147149
113,0.4499460846474682,0.12328597668817395,0.1577223668679432,0.2690455717964146,4786,0.7595827655692116,0.4628081905557877
114,0.46651776067317047,0.11015837969357009,0.06734931174900363,0.3559745478842559,5054,0.7572049450975553,0.45290858725761773
115,0.5677873705288781,0.017192608394765368,0.09123494086707815,0.3237850802092784,4901,0.7539166938818098,0.4490920220363191
116,0.5891735186228447,0.24267171481866753,0.10093247405642236,0.06722229250206539,4771,0.7801981300166578,0.5114231817229092
117,0.49143904768605473,0.34859492052596697,0.1140861306256084,0.045879901162370014,4815,0.7818974169964791,0.5163032191069574
