state,ncessch,school_code,school_name,score,running,cutoff,treat,titlei,grad_rate,econ_disadv_share,achievement,enrollment,is_high,next_score,award,got_funds,sharpness
WA,530270002711,4523,Heritage High School,4.2,1.9250000000000003,2.275,0,False,,0.5244565217391305,42.0,1725.0,1.0,4.35,0.0,0,0.9989811512990321
WA,530567002699,4525,Nooksack Elementary,4.6,2.3249999999999997,2.275,0,True,,0.533678756476684,69.5,398.0,0.0,6.2,0.0,0,0.9989811512990321
WA,530108002655,4527,Pinecrest Elementary,3.95,1.6750000000000003,2.275,0,True,,0.5445544554455446,52.0,424.0,0.0,3.55,0.0,0,0.9989811512990321
WA,530513002760,4528,Monroe High School,6.85,4.574999999999999,2.275,0,False,,0.2926829268292683,59.5,1613.0,1.0,6.05,0.0,0,0.9989811512990321
WA,530111002681,4529,Liberty Lake Elementary,5.65,3.3750000000000004,2.275,0,False,,0.2593984962406015,71.0,541.0,0.0,5.93,0.0,0,0.9989811512990321
WA,530267002669,4530,Penny Creek Elementary,9.1,6.824999999999999,2.275,0,False,,0.2443890274314214,77.5,694.0,0.0,8.4,0.0,0,0.9989811512990321
WA,530423002649,4532,Elizabeth Blackwell Elementary,9.15,6.875,2.275,0,False,,0.0211267605633802,87.0,555.0,0.0,8.15,0.0,0,0.9989811512990321
WA,530531002776,4533,Kendall Elementary,6.25,3.975,2.275,0,True,,0.7580645161290323,39.5,394.0,0.0,5.15,0.0,0,0.9989811512990321
WA,530420002756,4534,Highland Elementary,5.2,2.9250000000000003,2.275,0,False,,0.2573529411764705,68.0,548.0,0.0,5.05,0.0,0,0.9989811512990321
WA,530318002780,4535,Roosevelt Elementary,1.65,-0.625,2.275,1,True,,0.8945147679324894,30.0,658.0,0.0,1.5,48262.0,1,0.9989811512990321
WA,530708002714,4536,Monument Elementary,5.25,2.975,2.275,0,True,,0.913109756097561,35.5,300.0,0.0,2.55,31178.0,1,0.9989811512990321
WA,530870002742,4537,Crescent Heights Elementary School,8.95,6.674999999999999,2.275,0,False,,0.4137931034482758,64.0,443.0,0.0,7.45,0.0,0,0.9989811512990321
WA,530048002747,4538,North Star Elementary,7.73,5.455,2.275,0,False,,0.5572519083969466,56.5,490.0,0.0,6.15,0.0,0,0.9989811512990321
WA,530696002809,4540,Emerald Ridge High School,6.2,3.9250000000000003,2.275,0,False,,0.3089108910891089,61.0,1417.0,1.0,6.03,0.0,0,0.9989811512990321
WA,530861002744,4541,Daffodil Valley Elementary,7.9,5.625,2.275,0,True,,0.6666666666666666,61.0,540.0,0.0,8.3,0.0,0,0.9989811512990321
WA,530033002734,4542,Sonoji Sakai Intermediate,9.68,7.404999999999999,2.275,0,False,,0.0711610486891385,81.5,478.0,0.0,9.95,0.0,0,0.9989811512990321
WA,530732002704,4543,William Wiley Elementary School,9.07,6.795,2.275,0,False,,0.229965156794425,68.5,555.0,0.0,8.8,0.0,0,0.9989811512990321
WA,530513002761,4544,Hidden River Middle School,7.3,5.025,2.275,0,False,,0.3318284424379232,63.5,418.0,0.0,5.6,0.0,0,0.9989811512990321
WA,530396002729,4545,Emerald Park Elementary School,6.25,3.975,2.275,0,True,,0.5527156549520766,58.0,522.0,0.0,6.5,0.0,0,0.9989811512990321
WA,530645002813,4547,Ptarmigan Ridge Elementary School,4.6,2.3249999999999997,2.275,0,False,,0.3704414587332054,49.5,689.0,0.0,3.15,0.0,0,0.9989811512990321
WA,530213002812,4548,Dieringer Heights Elementary,8.28,6.004999999999999,2.275,0,False,,0.1514195583596214,77.5,536.0,0.0,7.95,0.0,0,0.9989811512990321
WA,530954002709,4549,Canyon Creek Middle School,8.4,6.125,2.275,0,False,,0.2446351931330472,63.0,257.0,0.0,8.1,0.0,0,0.9989811512990321
