state,state_abbr,board_regime,board_exists,csso_regime,n_voting,term_years,constitutional,frac_elected_public,student_voting,teacher_voting,student_present,teacher_present,student_voice,teacher_voice,auth_standards_board,auth_licensure_board,rep_index,rep_index_equal,rep_index_altWA,auth_index,gap,rating_category,algorithmic_grade,summative_any,naep_g4_math_equiv,enrollment_2021,pct_white_2021,pct_students_of_color,pct_frl_2122,sel_board_raw,sel_csso_raw,n_voting_raw,term_raw,established_raw,auth_licensure,auth_standards
Hawaii,HI,governor,1,board,9.0,3.0,1.0,0.0,0,0,1,0,0.5,0.0,1.0,0.5,0.125,0.16666666666666666,0.125,0.8333333333333334,0.7083333333333334,Index,1,1,242.0,173178,11.3,88.7,47.2,Governor appoints with advice and consent of Senate,SBE appoints,"9 plus 2 nonvoting members, including 1 student",3,Constitution,PSC,SBE
Idaho,ID,governor,1,elected,8.0,5.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,FederalTiers,0,0,243.0,314258,74.2,25.799999999999997,25.3,Governor appoints 7 with consent of Senate; CSSO also serves,Partisan ballot,8,5,Constitution,SBE,SBE
Illinois,IL,governor,1,board,9.0,4.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Descriptive,0,1,253.0,1868482,46.5,53.5,46.2,Governor appoints with consent of Senate,Governor proposes; SBE appoints,9,4,Constitution,SBE,SBE
Indiana,IN,governor,1,governor,11.0,4.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,Descriptive,0,1,244.0,1036625,65.1,34.900000000000006,44.2,Governor appoints 8; speaker of the House 1; president pro tempore 1; CSSO also serves,Governor appoints,11,4,Statute,SEA,SBE
Iowa,IA,governor,1,governor,9.0,6.0,0.0,0.0,0,0,1,0,0.5,0.0,1.0,0.5,0.125,0.16666666666666666,0.125,0.5,0.375,Index,1,1,224.0,510661,73.3,26.700000000000003,40.1,Governor appoints; Senate confirms,Governor appoints,9 plus 1 nonvoting student,6,Statute,PSC,SBE
Kansas,KS,elected,1,board,10.0,4.0,1.0,1.0,0,0,0,0,0.0,0.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,Descriptive,0,1,253.0,485424,62.7,37.3,43.2,Elected,SBE appoints,10,4,Constitution,SBE,SBE
Kentucky,KY,governor,1,board,11.0,4.0,0.0,0.0,0,0,1,1,0.5,0.5,1.0,0.5,0.25,0.3333333333333333,0.25,0.5,0.25,Index,1,1,244.0,654239,73.9,26.099999999999994,56.8,Governor appoints; Senate confirms,SBE appoints,"11 plus 4 nonvoting members, including student and teacher",4,Statute,PSC,SBE
Louisiana,LA,hybrid,1,board,11.0,4.0,1.0,0.7273,0,0,0,0,0.0,0.0,1.0,1.0,0.36365,0.2424333333333333,0.36365,1.0,0.63635,A-F,1,1,240.0,683216,43.0,57.0,47.5,8 elected by nonpartisan ballot; governor appoints 3; Senate confirms,SBE appoints,11,4,Constitution,SBE,SBE
Maine,ME,governor,1,governor,9.0,5.0,0.0,0.0,0,0,1,0,0.5,0.0,0.0,1.0,0.125,0.16666666666666666,0.125,0.3333333333333333,0.20833333333333331,Descriptive,0,1,250.0,173215,87.5,12.5,37.6,Governor appoints,Governor appoints,9 plus 2 nonvoting students,5,Statute,SBE,SEA
Maryland,MD,governor,1,board,14.0,4.0,0.0,0.0,1,1,1,1,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666663,Star,1,1,251.0,881461,33.9,66.1,42.0,Governor appoints 13 with advice and consent of Senate; teachers elect 1 teacher,SBE appoints,"14, including 1 teacher, parent, and student",4,Statute,SBE,SBE
